# qs, default, scipy, quadgk
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.373062945991903427e-03 2.303288873422326688e-01 2.329072541493348858e-01 2.089495955905288360e-01
1.674612589198380685e-02 3.658461442158126298e-01 3.690331808603197761e-01 3.356032161004727232e-01
2.511918883797571028e-02 4.802635666918534385e-01 4.828419334989554890e-01 4.470660931219676559e-01
3.349225178396761371e-02 5.747007209734826816e-01 5.760617481057741518e-01 5.429530782683692491e-01
4.186531472995951714e-02 6.516875405174235025e-01 6.520637191648664954e-01 6.233594256467791528e-01
5.023837767595142056e-02 7.164550493274615128e-01 7.164550493274612908e-01 6.914576585588059210e-01
5.861144062194332399e-02 7.745611099335218963e-01 7.749372885809651113e-01 7.522857734294501331e-01
6.698450356793522742e-02 8.275104369253782899e-01 8.292476427051131971e-01 8.081896458758519586e-01
7.535756651392713779e-02 8.765203699778406632e-01 8.804597639172346835e-01 8.603866155728217002e-01
8.373062945991903427e-02 9.224320701182762150e-01 9.285736522173289043e-01 9.092528611678025730e-01
9.210369240591093076e-02 9.653892248041662238e-01 9.728918340355106054e-01 9.545558914708327514e-01
1.004767553519028411e-01 1.005535521492991968e+00 1.013038130724336572e+00 9.959195278344691316e-01
1.088498182978947515e-01 1.043335942564677765e+00 1.049477524663730676e+00 1.033719948906155039e+00
1.172228812438866480e-01 1.079022979209184996e+00 1.082962373148578905e+00 1.068565824523294960e+00
1.255959441898785445e-01 1.112884006341476884e+00 1.114621212121212013e+00 1.101065824523295156e+00
1.339690071358704548e-01 1.144775336504071372e+00 1.145151515151515031e+00 1.131596127553598397e+00
1.423420700818623652e-01 1.174553282239488183e+00 1.174553282239488405e+00 1.160156733614204239e+00
1.507151330278542756e-01 1.202505218462688985e+00 1.202505218462688985e+00 1.186747642705113126e+00
1.590881959738461859e-01 1.228487457716192832e+00 1.228487457716193276e+00 1.211745033473768718e+00
1.674612589198380685e-01 1.252356312542518335e+00 1.252356312542518779e+00 1.235757575757575832e+00
1.758343218655452900e-01 1.274399157856628717e+00 1.274399157856628717e+00 1.259017760746496073e+00
1.842073848112525114e-01 1.294848484848484471e+00 1.294848484848484915e+00 1.281293097250567614e+00
1.925804477569597328e-01 1.314169275898011247e+00 1.314169275898011247e+00 1.301974915432386082e+00
2.009535107026669265e-01 1.332505218462688878e+00 1.332505218462689101e+00 1.320687036644507373e+00
2.093265736483741202e-01 1.349623821352556652e+00 1.349623821352556652e+00 1.337429460886931709e+00
2.176996365943660861e-01 1.365381397110132289e+00 1.365381397110132289e+00 1.352578366807101862e+00
2.260726995403579687e-01 1.379777945735416234e+00 1.379777945735416456e+00 1.366742424242424203e+00
2.344457624863498790e-01 1.392580976038446439e+00 1.392580976038446661e+00 1.379777945735416456e+00
2.428188254323417616e-01 1.403414309371779911e+00 1.403414309371779911e+00 1.391219948906154968e+00
2.511918883783336720e-01 1.412654124382859422e+00 1.412654124382859866e+00 1.400835942564677694e+00
2.595649513243256101e-01 1.420909090909090455e+00 1.420909090909090899e+00 1.408714730443465735e+00
2.679380142703174927e-01 1.428411700140435059e+00 1.428411700140435281e+00 1.415232491189961639e+00
2.763110772163093753e-01 1.434929460886931185e+00 1.434929460886931407e+00 1.420909090909090899e+00
2.846841401623013135e-01 1.440229881958616787e+00 1.440229881958617009e+00 1.426209511980776279e+00
2.930572031082931961e-01 1.444169275898011140e+00 1.444169275898010918e+00 1.430990066947537498e+00
3.014302660542851342e-01 1.446747642705113357e+00 1.446747642705113135e+00 1.434553282239487970e+00
3.098033290002770168e-01 1.448108669837405049e+00 1.448108669837405049e+00 1.436290488019223099e+00
3.181763919462688994e-01 1.448108669837405049e+00 1.448108669837405049e+00 1.436290488019223321e+00
3.265494548922607820e-01 1.446747642705113135e+00 1.446747642705113135e+00 1.434929460886931185e+00
3.349225178382527202e-01 1.444169275898011140e+00 1.444169275898011140e+00 1.432727272727272627e+00
3.432955807842446583e-01 1.440606060606060224e+00 1.440606060606060224e+00 1.430148905920170410e+00
3.516686437302365409e-01 1.436290488019222877e+00 1.436290488019222877e+00 1.427050673008143367e+00
3.600417066762284235e-01 1.431366245594980491e+00 1.431366245594980491e+00 1.422735100421306242e+00
3.684147696222203616e-01 1.426209511980776279e+00 1.426209511980776279e+00 1.416593518322253331e+00
3.767878325682122442e-01 1.420909090909090455e+00 1.420909090909090455e+00 1.409090909090908728e+00
3.851608955142041268e-01 1.415232491189961639e+00 1.415232491189961639e+00 1.401588299859564124e+00
3.935339584601960095e-01 1.408714730443465513e+00 1.408714730443465513e+00 1.395446717760511213e+00
4.019070214061880031e-01 1.401212121212120909e+00 1.401212121212120909e+00 1.391507323821117748e+00
4.102800843521798857e-01 1.393333333333333091e+00 1.393333333333333091e+00 1.389770118041382618e+00
