# qs, default, scipy, quadgk
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.274225492404530764e-03 5.221479269091655606e-02 4.986106590761957280e-02 4.986106590761960056e-02
8.548450984809061529e-03 8.280310677044860901e-02 7.977234201419791670e-02 7.977234201419797222e-02
1.282267647721359143e-02 1.085029886524553899e-01 1.057001298560790448e-01 1.057001298560791280e-01
1.709690196961812306e-02 1.297141081954141517e-01 1.276739411445323991e-01 1.276739411445324268e-01
2.137112746202265295e-02 1.471840577430431063e-01 1.460027928739328629e-01 1.459082659317548492e-01
2.564535295442718285e-02 1.621460309546135237e-01 1.616298080439013685e-01 1.612878063542485807e-01
2.991957844683171275e-02 1.758007587756092449e-01 1.756774477868432993e-01 1.750295504865971852e-01
3.419380393923624611e-02 1.883876113658038698e-01 1.885461346555301620e-01 1.875562356656312601e-01
3.846802943164077254e-02 2.001306172315105436e-01 2.005194494764960811e-01 1.991875487969443637e-01
4.274225492404530591e-02 2.111528919506187041e-01 2.116558131128597475e-01 2.101125437648926619e-01
4.701648041644983927e-02 2.215706901050124578e-01 2.219552255646210226e-01 2.204119562166539925e-01
5.129070590885436570e-02 2.314489999816393417e-01 2.315483198530176034e-01 2.302164191734657750e-01
5.556493140125889213e-02 2.407767202557662412e-01 2.405519377042865670e-01 2.395620387143875540e-01
5.983915689366342550e-02 2.496119782183354174e-01 2.491190269237246735e-01 2.484711296234785038e-01
6.411338238606795192e-02 2.580129011602888545e-01 2.573802205325693704e-01 2.570382188429165549e-01
6.838760787847249223e-02 2.659213617906845406e-01 2.652994124517612518e-01 2.652048855095832103e-01
7.266183337087700478e-02 2.733262587847894443e-01 2.728766026813003731e-01 2.728766026813004286e-01
7.693605886328154508e-02 2.803618090452261180e-01 2.801478973002461403e-01 2.801478973002461403e-01
8.121028435568607151e-02 2.871622294746167259e-01 2.870771902295390365e-01 2.870771902295390365e-01
8.548450984809061182e-02 2.938104706806469180e-01 2.936644814691791727e-01 2.936644814691791172e-01
8.975873534034982393e-02 3.003535586295257853e-01 2.999458770982259548e-01 2.999458770982259548e-01
9.403296083260902216e-02 3.067376063590389057e-01 3.058852710376199213e-01 3.058852710376198658e-01
9.830718632486822040e-02 3.128754229327731506e-01 3.115771902295391138e-01 3.115771902295391138e-01
1.025814118171274186e-01 3.186327914481060786e-01 3.171161616161615737e-01 3.171161616161615182e-01
1.068556373093866307e-01 3.239267612973523169e-01 3.224660791184279507e-01 3.224660791184279507e-01
1.111298628017911710e-01 3.288043584467210123e-01 3.276630488153976506e-01 3.276630488153976506e-01
1.154040882941956836e-01 3.333305711831594520e-01 3.327070707070706179e-01 3.327070707070706179e-01
1.196783137866002239e-01 3.376575787300282183e-01 3.375620387143875578e-01 3.375620387143875023e-01
1.239525392790047503e-01 3.419666239561588994e-01 3.422640589164077651e-01 3.421695319742296126e-01
1.282267647714092906e-01 3.463047328277606418e-01 3.468131313131312954e-01 3.464711296234784799e-01
1.325009902638137893e-01 3.505667520876820653e-01 3.511731498254986317e-01 3.505252525252524620e-01
1.367752157562183435e-01 3.546295661580337599e-01 3.552856935903913049e-01 3.543903215426703612e-01
1.410494412486228699e-01 3.583520971401882860e-01 3.589978148025125271e-01 3.579133888704354449e-01
1.453236667410273963e-01 3.616762177432034098e-01 3.623095134618622426e-01 3.609776127823104974e-01
1.495978922334319228e-01 3.646959798994973689e-01 3.653737373737373506e-01 3.637359410835921403e-01
1.538721177258364770e-01 3.675276381909546863e-01 3.682489074012562091e-01 3.663636363636362248e-01
1.581463432182409756e-01 3.702652445499936551e-01 3.709711296234785016e-01 3.689913316436804758e-01
1.624205687106455298e-01 3.728976976518812991e-01 3.735404040404040060e-01 3.716551330027840772e-01
1.666947942030500562e-01 3.753600092096702756e-01 3.758260976307953860e-01 3.742828282828283282e-01
1.709690196954545827e-01 3.776521792233604735e-01 3.778058956105933008e-01 3.768159966206943157e-01
1.752432451878591368e-01 3.797921700136902556e-01 3.795743249219759585e-01 3.791377962901451015e-01
1.795174706802636633e-01 3.817620192599214257e-01 3.812121212121211689e-01 3.811175942699431274e-01
1.837916961726681897e-01 3.835617269620539282e-01 3.828499175022663792e-01 3.828499175022663237e-01
1.880659216650727161e-01 3.852092554408259595e-01 3.845238198714709399e-01 3.845238198714709399e-01
1.923401471574772426e-01 3.867336683417084697e-01 3.862561431037941917e-01 3.861616161616161502e-01
1.966143726498817690e-01 3.882110552763818889e-01 3.881414141414141206e-01 3.877048855095831525e-01
2.008885981422863232e-01 3.897354681772644547e-01 3.902157390633901324e-01 3.890367861891350643e-01
2.051628236346908496e-01 3.913829966560364304e-01 3.924430117906628768e-01 3.900266851790340494e-01
2.094370491270953760e-01 3.931827043581689329e-01 3.948232323232322427e-01 3.907691094214582606e-01
