# hist, gauss, lorentz, allen
1.126541304271770088e+02 1.130439063644680999e+02 1.157381284154123904e+02 1.187536872343878542e+02
1.124900665163529254e+02 1.128791907666860936e+02 1.155692997122528283e+02 1.114567253366563335e+02
1.122283829790959828e+02 1.126164679105006456e+02 1.153000152382762735e+02 1.094397827733745743e+02
1.118849205010941290e+02 1.122716415626352386e+02 1.149465745424165704e+02 1.080110745819395675e+02
1.114787248303291278e+02 1.118638332920290566e+02 1.145285754437082915e+02 1.071599615473557350e+02
1.110298099687058340e+02 1.114131367421087901e+02 1.140666125642111268e+02 1.065465772836268599e+02
1.105572079415011899e+02 1.109386596292793854e+02 1.135802705975677895e+02 1.062442449487691647e+02
1.100775645502041442e+02 1.104571139073756711e+02 1.130866792457306218e+02 1.059347832021137208e+02
1.096043606176188518e+02 1.099820339219220955e+02 1.125997116947657588e+02 1.057959810579357196e+02
1.091476937181576972e+02 1.095235572849924637e+02 1.121297598086257494e+02 1.057406259881897626e+02
1.087144746988165593e+02 1.090886221925638324e+02 1.116839361769617796e+02 1.057242410912523667e+02
1.083088737069763852e+02 1.086814152398084872e+02 1.112665329674638741e+02 1.056110883024768299e+02
1.079328720639410335e+02 1.083039254999207230e+02 1.108795897575520115e+02 1.055312277087722208e+02
1.075868164489070296e+02 1.079565009187931679e+02 1.105234637941766636e+02 1.054409452921767212e+02
1.072699133978754560e+02 1.076383447837949348e+02 1.101973388696147822e+02 1.054145683331539516e+02
1.069806358438324594e+02 1.073479238813260821e+02 1.098996437024451325e+02 1.053028932113782190e+02
1.067170364815376189e+02 1.070832831066233268e+02 1.096283744431766394e+02 1.052922924404663263e+02
1.064769760609677007e+02 1.068422746628906310e+02 1.093813296360677896e+02 1.052536853717364664e+02
1.062582807592158645e+02 1.066227160564217371e+02 1.091562721938432787e+02 1.052034201070027848e+02
1.060588441512989846e+02 1.064224924702915587e+02 1.089510343551632161e+02 1.052870664990593355e+02
1.058766880965214057e+02 1.062396178904374295e+02 1.087635803575372080e+02 1.053011283437986663e+02
1.057099945257680531e+02 1.060722670172734183e+02 1.085920391601637931e+02 1.053191207255466963e+02
1.055571175304680906e+02 1.059187874010012251e+02 1.084347168917248325e+02 1.052800281277630319e+02
1.054165827730165006e+02 1.057776988483030038e+02 1.082900962480139953e+02 1.052750283674471206e+02
1.052870792509743012e+02 1.056476851527130094e+02 1.081568280188994464e+02 1.052666424933933484e+02
1.051674468908172884e+02 1.055275816382091563e+02 1.080337183221466120e+02 1.052431777803365520e+02
1.050566622832240427e+02 1.054163608371642766e+02 1.079197139238371506e+02 1.052264801013334505e+02
1.049538240334022419e+02 1.053131177819696944e+02 1.078138871620990074e+02 1.052211989264928320e+02
1.048581386149741093e+02 1.052170558023510836e+02 1.077154213887639429e+02 1.051657466369940579e+02
1.047689072201292930e+02 1.051274733230091556e+02 1.076235974361484580e+02 1.051187842596582698e+02
1.046855138394101203e+02 1.050437518958585201e+02 1.075377813492181787e+02 1.051217768102991243e+02
1.046074146408368506e+02 1.049653455368252395e+02 1.074574134549289397e+02 1.050912090578036526e+02
1.045341286197799633e+02 1.048917713384862935e+02 1.073819987393518431e+02 1.050626011896435159e+02
1.044652294361986691e+02 1.048226012748238389e+02 1.073110984467881082e+02 1.049935699331955590e+02
1.044003383292203893e+02 1.047574550876249901e+02 1.072443227876540419e+02 1.049552925168783872e+02
1.043391179899989964e+02 1.046959941349839056e+02 1.071813246326024540e+02 1.049080321646080876e+02
1.042812672752607455e+02 1.046379160838450559e+02 1.071217940718651391e+02 1.049078148535839290e+02
1.042265166512765546e+02 1.045829503358809660e+02 1.070654537263364290e+02 1.048650643716266870e+02
1.041746242682005033e+02 1.045308540862479987e+02 1.070120547074190256e+02 1.047978437357517549e+02
1.041253725759412276e+02 1.044814089260293883e+02 1.069613731342063971e+02 1.047532336784215943e+02
1.040785654038888310e+02 1.044344179103787695e+02 1.069132071280571381e+02 1.047418376218312375e+02
1.040340254372945878e+02 1.043897030248931088e+02 1.068673742153948325e+02 1.046997004533255335e+02
1.039915920325978078e+02 1.043471029922795168e+02 1.068237090793458464e+02 1.046525720891194311e+02
1.039511193224047361e+02 1.043064713698263972e+02 1.067820616094808770e+02 1.046005866051707471e+02
1.039124745681585580e+02 1.042676748955470600e+02 1.067422952064699189e+02 1.045804864156721266e+02
1.038755367248519121e+02 1.042305920472082903e+02 1.067042853049686073e+02 1.045375605337891045e+02
1.038401951875357270e+02 1.041951117838765981e+02 1.066679180836003695e+02 1.044683736493669102e+02
1.038063486939658020e+02 1.041611324442220337e+02 1.066330893356314817e+02 1.044560219387270195e+02
1.037739043616147114e+02 1.041285607797195354e+02 1.065997034779285855e+02 1.043808662142066481e+02
1.037427768405571129e+02 1.040973111041827934e+02 1.065676726791684814e+02 1.043262393296553370e+02
1.037128875665055858e+02 1.040673045438461060e+02 1.065369160911170070e+02 1.042563166419511305e+02
1.036841641006038230e+02 1.040384683745475201e+02 1.065073591691965333e+02 1.042062214340985236e+02
1.036565395445555424e+02 1.040107354345447703e+02 1.064789330705818031e+02 1.041493309434690815e+02
1.036299520213184593e+02 1.039840436031581277e+02 1.064515741197752305e+02 1.040778730150607601e+02
1.036043442130028751e+02 1.039583353368413725e+02 1.064252233330495585e+02 1.039953384669652507e+02
1.035796629487862361e+02 1.039335572554698643e+02 1.063998259943677880e+02 1.038768018734854479e+02
1.035558588366700548e+02 1.039096597726421436e+02 1.063753312764204395e+02 1.037464130921027277e+02
1.035328859337459875e+02 1.038865967646440822e+02 1.063516919012937052e+02 1.035535712018781425e+02
1.035107014503675060e+02 1.038643252734524083e+02 1.063288638360325962e+02 1.033361753807053134e+02
1.034892654842348207e+02 1.038428052397697883e+02 1.063068060189862365e+02 1.030147761365704184e+02
1.034685407809295299e+02 1.038219992626143977e+02 1.062854801133749021e+02 1.026244953508578703e+02
1.034484925178830537e+02 1.038018723824358887e+02 1.062648502849724537e+02 1.020927173365411846e+02
