splits_lda_cnone (eV), x_n_lda_cnone (eV), splits_lda_(eV), x_n_lda(eV), splits_pbe (eV), x_n_pbe (eV)
0.15372890836559525, 0.1536462953987731, 0.06198379889938227, 0.08935660223168387, 0.14457325508925056, 0.1245226184210709 
0.15242131435605777, 0.1522382274952893, 0.07758223267073677, 0.11176811882953927, 0.1780125971948815, 0.15364245285391825 
0.1761965960777768, 0.17590566493653548, 0.09229326724525527, 0.13279530007208643, 0.21022383983537654, 0.1817991292229066 
0.1993956699832192, 0.1989562373084631, 0.09451908413931534, 0.13562143897037482, 0.24122800938358166, 0.20890946324506077 
0.22183695970121786, 0.22124431722920154, 0.10171900720382455, 0.14571812966298833, 0.27095312451360054, 0.2349954880361611 
0.24405392208137935, 0.24323000790353264, 0.11680490603799253, 0.16733951346922168, 0.2992612828812763, 0.2599362272325268 
0.26596523273376355, 0.264918166076049, 0.11905019307863174, 0.1708316197447617, 0.3268861898298367, 0.2843320684179265 
0.2874101784849234, 0.28611694891181727, 0.1173140924554713, 0.1687359569518711, 0.35394848592066186, 0.30825054496032595 
0.308531267436965, 0.30706900055531894, 0.1319199381926992, 0.18961898682814254, 0.3806901808883593, 0.33187740808269806 
0.3295966510872733, 0.3277745605898206, 0.14643189158580286, 0.21040172322254794, 0.4068575837279638, 0.35505754097333975 
0.3507580760189772, 0.34855149326736484, 0.1609419966410582, 0.2310972973695388, 0.4323409814046918, 0.3777286541843 
0.37178980291674224, 0.3692195589805159, 0.17192527106022282, 0.2465993729516324, 0.4571270293962521, 0.3998529981339009 
0.3925675496999486, 0.3896671001381235, 0.18620517851423685, 0.26696944671340306, 0.4814007804174714, 0.42156836457971963 
0.4132077553392399, 0.4097281399116676, 0.20046021300228023, 0.28724207025398485, 0.5053271054151849, 0.4429722824004289 
0.4312941347257797, 0.427350028777294, 0.2128174675061433, 0.30475936122339714, 0.5266973893348478, 0.4621472457567722 
0.4396373444992896, 0.4355638872128279, 0.22417076360148447, 0.32098603289471295, 0.5379947750253057, 0.47250128463747726 
0.4431168154967073, 0.43906493230443433, 0.23837311699310895, 0.341191416844889, 0.5483736805596497, 0.4821341782523932 
0.45813193801413127, 0.4537349502523022, 0.2525378124935602, 0.3613301625321374, 0.562364836768276, 0.4949123222226777 
0.4774374507971617, 0.47259340851267667, 0.26653761824651184, 0.38120416257618894, 0.5788747041733912, 0.5098696339020292 
0.49631160725089135, 0.49099585251166555, 0.28030696466344995, 0.40081533924937424, 0.6000843192539335, 0.529055114769022 
0.514833880744709, 0.5090210310448807, 0.2942609064916215, 0.42048616020518104, 0.6210416813388444, 0.5480805239966386 
0.5332652033776311, 0.5269295827505767, 0.3078349138480644, 0.43963131908082664, 0.6418250439064344, 0.5669812353893884 
0.5464423638603936, 0.5397158516780736, 0.3212516535110829, 0.45855517910676646, 0.6628064573416677, 0.5861044785190097 
0.5415829094439745, 0.5349216565631756, 0.33456162286292646, 0.4773158133904731, 0.6779146439109978, 0.5998630997670112 
0.5429795267729289, 0.5362289881477719, 0.34782619083176897, 0.4960086781051692, 0.6726663294253288, 0.5950561747372776 
0.5606251682013087, 0.5533778040579109, 0.360974406971813, 0.5145024242942896, 0.6744412644898456, 0.5965464348428592 
0.5781288688671233, 0.5704081161146657, 0.37383288583172625, 0.5325490980447496, 0.6937484987547362, 0.6143075843886703 
0.5955598904540971, 0.587328221737571, 0.38664578682005507, 0.550529286485481, 0.7128784929079641, 0.6319437997375089 
0.6124631674060613, 0.6037397647653303, 0.3994149256390128, 0.5684456052426303, 0.731859451997149, 0.6494711329787011 
0.6292818414930259, 0.6200513587114083, 0.4119121056275401, 0.5859583215886174, 0.7501899750791154, 0.6664564089649954 
0.6460350964316287, 0.6363194838648097, 0.42432997104993825, 0.6033489252925656, 0.7683735329194964, 0.6833241590120678 
0.6624420846611657, 0.6522564675296294, 0.43663164560683093, 0.620553190984793, 0.7863235877769793, 0.7000757053810451 
0.6785960272785598, 0.6679480703933525, 0.44872481456375507, 0.637445905867299, 0.8038253006843904, 0.7164696775313639 
0.6946535974472946, 0.6835368124622658, 0.46066563848158704, 0.6541136868748819, 0.8209954329522872, 0.7326049963567197 
0.7105597310665188, 0.6989797973623179, 0.47255247770698755, 0.6707077151463866, 0.8380285740390583, 0.7486437389367591 
0.7262199632729087, 0.7142033101308229, 0.4843299693909986, 0.6871389741888064, 0.8548387822533394, 0.7645214084493204 
0.7417247952616143, 0.7292771125825214, 0.49590420201391333, 0.703258005594045, 0.8712799015918059, 0.7801264952536165 
0.7570939383150352, 0.7442187295441646, 0.5073745415367954, 0.7192256963437599, 0.8875096688004132, 0.7955754457390241 
0.7722715998456993, 0.7589924541956754, 0.5187574159092669, 0.7350669584465831, 0.9035568125597317, 0.810891983146264 
0.787334799664429, 0.7736551236525729, 0.5299797724165481, 0.7506621484902627, 0.9193126163893365, 0.8259966831668952 
