splits_lda_cnone (eV), x_n_lda_cnone (eV), splits_lda_(eV), x_n_lda(eV), splits_pbe (eV), x_n_pbe (eV)
0.013573601956768596, 0.013574941615811048, 0.009050388940086272, 0.012558423517966428, 0.01817228031053058, 0.015504407953643393 
0.060476974873968706, 0.06047035670005574, 0.03818586613589814, 0.053010688816405215, 0.08057298464481326, 0.0689318528490807 
0.0873497582071767, 0.08728867456345546, 0.0479836743399747, 0.06655757881754078, 0.11768380992508566, 0.10103248708536668 
0.003006322452580895, 0.003004948627251371, 0.0020363667371420765, 0.0028226392818333766, 0.1552498571708344, 0.13355951338688712 
0.14175961518657895, 0.14169876728267822, 1.361847511962524e-5, 1.6875224932202638e-6, 0.18966917468923486, 0.16365188586258006 
0.16858368873001497, 0.16850919134452508, 0.113900717528399, 0.15782329216843813, 0.22274704691075597, 0.19271121083093734 
0.19388004569422862, 0.19370107901355924, 0.13099572172415178, 0.18145213431295695, 0.2549444764583801, 0.22110000987510497 
0.2194505121230623, 0.21929620517298498, 0.1485851770856028, 0.20562711000848133, 0.2875778313403148, 0.24986679786946892 
0.2458325110470642, 0.24560014703840755, 0.16641972254683052, 0.2303569258365266, 0.32069623912328804, 0.27904478210949074 
0.269875485361766, 0.2695999859041136, 0.18300054344289346, 0.2532667219134973, 0.3512262258346039, 0.30616900054719465 
0.2931708256527388, 0.29279442572276254, 0.19914186218878663, 0.2755219409135497, 0.3805699790989285, 0.3323421714722356 
0.316128992517941, 0.31565311916800437, 0.21503577759200862, 0.29743930761281595, 0.40905166409475896, 0.3578168714895765 
0.33939453422096943, 0.33882535344436465, 0.23115326690939836, 0.31970472563443214, 0.4378113468731912, 0.3835058891116482 
0.36319920865597355, 0.3625111975148462, 0.24751731537673358, 0.342319116174761, 0.4669103456085631, 0.409462012337256 
0.386633766166129, 0.38582640765011955, 0.2636448795213043, 0.36458446323238386, 0.4953495799735671, 0.43486781492629895 
0.4093516180352483, 0.40838909298334564, 0.2793821630865352, 0.3862452949599557, 0.5228194478935916, 0.4594757200945569 
0.430486347004821, 0.42933590308669944, 0.2939802349621531, 0.4063672255325873, 0.5480671449879537, 0.4822592081819807 
0.45095888918435845, 0.4496102088911869, 0.30835551074817136, 0.42610594546138636, 0.5726665964145905, 0.5044849006329052 
0.47099185887245665, 0.4694293278024071, 0.3224177310918651, 0.44544890250709535, 0.5966299116299173, 0.5261605684479707 
0.49201447904471074, 0.4902293614329617, 0.33704987173102413, 0.4655907501464769, 0.6214441598055753, 0.5485052093016458 
0.5127596193425786, 0.5107354877612412, 0.3515039982814935, 0.4854806415186563, 0.6459095679394113, 0.5705349334519355 
0.5322080509375282, 0.5299190746026785, 0.3652037764337908, 0.50428778377546, 0.6694542178515082, 0.5917812310147815 
0.5512651083029968, 0.5486958770424825, 0.3786604807447014, 0.5227540287968503, 0.692072105844599, 0.6122332891061343 
0.5699595096939072, 0.5670944663717995, 0.3919420680113347, 0.5409617904589437, 0.7137543160747885, 0.6318822149460729 
0.5888236131860104, 0.585654169021912, 0.4051629028305257, 0.5591485553656088, 0.7348868060692357, 0.6510415520095443 
0.6072067668288382, 0.6037184801195593, 0.4181306036259418, 0.5769498662900843, 0.7553749164315949, 0.6696333423875671 
0.6241752740740388, 0.6203434051164706, 0.43022553843126304, 0.5935004420797607, 0.7747869327514778, 0.6873035805320838 
0.640706139461002, 0.6365170514759586, 0.4420693058585975, 0.6097009129907474, 0.7936638244425142, 0.704494863183721 
0.6568563215331711, 0.6522974149712437, 0.4536581692001254, 0.6255544562929195, 0.8120805291395176, 0.7212694084031465 
0.6737927246408808, 0.668860954191731, 0.46569336318349225, 0.6420521592083344, 0.8310542122473631, 0.7384708675208856 
0.6906252243309374, 0.6853129162841096, 0.4776530980561067, 0.6584431961642283, 0.8498209751792489, 0.7554731084799557 
0.7071307276988971, 0.7014289306850636, 0.4894053592976881, 0.6745401950685297, 0.8681517854362892, 0.7720810758987611 
0.7225667949256173, 0.7164614665071906, 0.5005051422011851, 0.6897249441332509, 0.8855758620675657, 0.7879088174894721 
0.7373290271951899, 0.7308044712889137, 0.5111798661945368, 0.7043029040374313, 0.9020831175726923, 0.8029465632532774 
0.7519413808338993, 0.7449991874651241, 0.5217627019759264, 0.7187576172257725, 0.9181317464942772, 0.8175741116470904 
0.7662260168057873, 0.7588498330016786, 0.5321276492179531, 0.7329126300762461, 0.9336238479722253, 0.8317116483090071 
0.7800657795266237, 0.7722486759875896, 0.5422131905282318, 0.7466807588535533, 0.9485419436293635, 0.845347232462042 
0.793347553118455, 0.7850799953360258, 0.5519553812908552, 0.7599696219030754, 0.9638529546328517, 0.8592921961415971 
0.8068521890414604, 0.7981267198045919, 0.5618445889062504, 0.7734760179151157, 0.9781365545497042, 0.872358979597018 
