# qs, default, scipy, quadgk
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.640185158217266362e-03 7.617988308809603426e-02 7.416303084204475815e-02 7.290690342320016448e-02
1.128037031643453272e-02 1.208819782020251754e-01 1.183996990905613056e-01 1.168470402124680563e-01
1.692055547465180082e-02 1.585915738311235168e-01 1.564667666339322749e-01 1.552106392150876257e-01
2.256074063286906545e-02 1.898476268384571841e-01 1.886395588680863933e-01 1.879764943677391664e-01
2.820092579108633354e-02 2.156963122847044834e-01 2.155735663871525265e-01 2.153902998666032409e-01
3.384111094930360164e-02 2.379296296545694855e-01 2.387871359380047687e-01 2.387871359380048519e-01
3.948129610752085933e-02 2.583097471698175829e-01 2.598982470491159047e-01 2.598982470491159047e-01
4.512148126573813089e-02 2.771665310894156353e-01 2.790901662410351092e-01 2.790901662410351647e-01
5.076166642395539552e-02 2.946823269966236114e-01 2.965461600343116122e-01 2.965461600343116677e-01
5.640185158217266709e-02 3.109134827755180575e-01 3.125627598881942637e-01 3.125627598881943192e-01
6.204203674038993171e-02 3.259511712177291520e-01 3.274364972619316361e-01 3.272532307413824060e-01
6.768222189860720328e-02 3.399777379065168081e-01 3.415339051966223560e-01 3.406875741757258158e-01
7.332240705682446791e-02 3.531970514016645191e-01 3.551515151515151070e-01 3.532323232323232309e-01
7.896259221504171866e-02 3.658478051705086331e-01 3.684025920653092312e-01 3.654105392478219638e-01
8.460277737325899716e-02 3.780211720046795509e-01 3.811738709993053309e-01 3.775187536814709199e-01
9.024296253147626179e-02 3.897171519041769949e-01 3.931688204942548337e-01 3.895137031764203672e-01
9.588314768969352642e-02 4.009357448690011316e-01 4.042041740296084540e-01 4.012121212121211866e-01
1.015233328479107910e-01 4.115857781075217825e-01 4.142799316053660252e-01 4.123607396861741492e-01
1.071635180061280695e-01 4.215197309440325002e-01 4.233960932215277140e-01 4.225497622006311738e-01
1.128037031643453342e-01 4.307724282860866394e-01 4.317359253986425838e-01 4.315526588780934092e-01
1.184438883223708217e-01 4.395477386934672492e-01 4.395959595959596511e-01 4.395959595959596511e-01
1.240840734803963230e-01 4.480495307259577675e-01 4.472727272727272663e-01 4.472727272727273218e-01
1.297242586384218244e-01 4.563126292911117710e-01 4.549494949494948814e-01 4.549494949494951035e-01
1.353644437964472980e-01 4.642806865048523246e-01 4.626262626262626076e-01 4.626262626262626076e-01
1.410046289544727993e-01 4.719188774596261848e-01 4.703030303030302783e-01 4.703030303030304449e-01
1.466448141126900917e-01 4.791360293638032286e-01 4.777965314592486634e-01 4.777965314592486079e-01
1.522849992709073563e-01 4.858194464492303632e-01 4.848102346356690795e-01 4.848102346356691905e-01
1.579251844291246210e-01 4.920603015075376008e-01 4.914141414141414144e-01 4.914141414141415254e-01
1.635653695873418856e-01 4.980276381909547467e-01 4.978347816720645191e-01 4.978347816720644636e-01
1.692055547455591502e-01 5.037214564994815236e-01 5.040021538275881730e-01 5.040021538275882840e-01
1.748457399037763871e-01 5.090638855725186929e-01 5.097597295851639121e-01 5.097597295851639121e-01
1.804859250619937072e-01 5.140201005025124559e-01 5.149242424242423954e-01 5.149242424242423954e-01
1.861261102202109441e-01 5.187027970576161273e-01 5.195389557016728554e-01 5.195389557016728554e-01
1.917662953784282365e-01 5.231468001453829508e-01 5.238571375198546320e-01 5.238571375198547431e-01
1.974064805366454733e-01 5.272957618817366576e-01 5.278787878787878363e-01 5.278787878787878363e-01
2.030466656948627657e-01 5.312060301507535165e-01 5.317171717171716994e-01 5.315339051966223582e-01
2.086868508530800304e-01 5.349339528365104623e-01 5.355555555555555625e-01 5.348924910552081968e-01
2.143270360112972672e-01 5.384231820549307823e-01 5.392106728733900844e-01 5.379545454545454630e-01
2.199672211695145319e-01 5.417085427135677200e-01 5.425692587319759230e-01 5.408333333333332771e-01
2.256074063277317965e-01 5.449027305805747012e-01 5.458145796518623083e-01 5.438953877326704323e-01
2.312475914859491166e-01 5.480620935400279947e-01 5.489898989898989168e-01 5.472539735912562708e-01
2.368877766441663535e-01 5.511651086154047974e-01 5.519819518073860731e-01 5.507258243885415627e-01
2.425279618023836181e-01 5.540294302234451962e-01 5.545642082269253148e-01 5.539011437265781712e-01
2.481681469606009105e-01 5.564727127808886120e-01 5.564834001461173019e-01 5.563001336255679607e-01
2.538083321188181474e-01 5.584734333112122417e-01 5.579227940855111534e-01 5.579227940855112644e-01
2.594485172770354398e-01 5.600879396984923542e-01 5.592489230862056626e-01 5.592489230862058847e-01
2.650887024352526766e-01 5.615201005025125536e-01 5.608715835461489663e-01 5.608715835461490773e-01
2.707288875934699690e-01 5.630434340981627095e-01 5.632705734451388668e-01 5.632705734451388668e-01
2.763690727516872059e-01 5.647142883695193127e-01 5.664458927831753643e-01 5.664458927831754753e-01
